file,gloss,cat,occluded,signer,duration
clip_00002_good_morning_S0.npz,0,0,1,S0,4.066666666666666
clip_00003_good_morning_S0.npz,0,0,1,S0,4.066666666666666
clip_00005_good_morning_S0.npz,0,0,1,S0,4.066666666666666
clip_00006_good_morning_S1.npz,0,0,1,S1,4.083333333333333
clip_00007_good_morning_S1.npz,0,0,1,S1,4.083333333333333
clip_00009_good_morning_S1.npz,0,0,1,S1,4.066666666666666
clip_00010_good_morning_S1.npz,0,0,1,S1,4.066666666666666
clip_00011_good_morning_S2.npz,0,0,1,S2,4.083333333333333
clip_00013_good_morning_S2.npz,0,0,1,S2,4.066666666666666
clip_00014_good_morning_S2.npz,0,0,1,S2,4.066666666666666
clip_00015_good_morning_S2.npz,0,0,1,S2,4.066666666666666
clip_00016_good_morning_S3.npz,0,0,1,S3,4.066666666666666
clip_00018_good_morning_S3.npz,0,0,1,S3,4.066666666666666
clip_00019_good_morning_S3.npz,0,0,1,S3,4.066666666666666
clip_00125_good_afternoon_S0.npz,1,0,1,S0,4.066666666666666
clip_00126_good_afternoon_S0.npz,1,0,1,S0,4.066666666666666
clip_00127_good_afternoon_S0.npz,1,0,1,S0,4.066666666666666
clip_00128_good_afternoon_S0.npz,1,0,1,S0,4.066666666666666
clip_00129_good_afternoon_S0.npz,1,0,1,S0,4.066666666666666
clip_00130_good_afternoon_S1.npz,1,0,1,S1,4.066666666666666
clip_00131_good_afternoon_S1.npz,1,0,1,S1,4.066666666666666
clip_00132_good_afternoon_S1.npz,1,0,1,S1,4.066666666666666
clip_00133_good_afternoon_S1.npz,1,0,1,S1,4.066666666666666
clip_00134_good_afternoon_S1.npz,1,0,1,S1,4.066666666666666
clip_00135_good_afternoon_S2.npz,1,0,0,S2,4.066666666666666
clip_00136_good_afternoon_S2.npz,1,0,0,S2,4.066666666666666
clip_00137_good_afternoon_S2.npz,1,0,0,S2,4.066666666666666
clip_00138_good_afternoon_S2.npz,1,0,0,S2,4.066666666666666
clip_00140_good_afternoon_S2.npz,1,0,1,S2,4.066666666666666
clip_00141_good_afternoon_S3.npz,1,0,1,S3,4.066666666666666
clip_00143_good_afternoon_S3.npz,1,0,1,S3,4.066666666666666
clip_00144_good_afternoon_S3.npz,1,0,1,S3,4.066666666666666
clip_00145_good_afternoon_S3.npz,1,0,1,S3,4.066666666666666
clip_00252_good_evening_S0.npz,2,0,1,S0,4.066666666666666
clip_00253_good_evening_S0.npz,2,0,1,S0,4.066666666666666
clip_00254_good_evening_S0.npz,2,0,1,S0,4.066666666666666
clip_00255_good_evening_S1.npz,2,0,1,S1,4.066666666666666
clip_00256_good_evening_S1.npz,2,0,1,S1,4.066666666666666
clip_00257_good_evening_S1.npz,2,0,1,S1,4.066666666666666
clip_00258_good_evening_S1.npz,2,0,1,S1,4.066666666666666
clip_00259_good_evening_S1.npz,2,0,1,S1,4.066666666666666
clip_00261_good_evening_S2.npz,2,0,0,S2,4.066666666666666
clip_00263_good_evening_S2.npz,2,0,1,S2,4.066666666666666
clip_00264_good_evening_S2.npz,2,0,0,S2,4.066666666666666
clip_00265_good_evening_S3.npz,2,0,1,S3,4.066666666666666
clip_00267_good_evening_S3.npz,2,0,1,S3,4.066666666666666
clip_00268_good_evening_S3.npz,2,0,1,S3,4.066666666666666
clip_00270_good_evening_S3.npz,2,0,1,S3,4.066666666666666
clip_00371_hello_S0.npz,3,0,1,S0,4.066666666666666
clip_00372_hello_S0.npz,3,0,1,S0,4.066666666666666
clip_00373_hello_S0.npz,3,0,1,S0,4.066666666666666
clip_00375_hello_S1.npz,3,0,0,S1,4.066666666666666
clip_00377_hello_S1.npz,3,0,0,S1,4.066666666666666
clip_00378_hello_S1.npz,3,0,1,S1,4.066666666666666
clip_00379_hello_S1.npz,3,0,0,S1,4.066666666666666
clip_00380_hello_S2.npz,3,0,0,S2,4.066666666666666
clip_00383_hello_S2.npz,3,0,0,S2,4.066666666666666
