,GOOD MORNING (0),GOOD AFTERNOON (1),GOOD EVENING (2),HELLO (3),HOW ARE YOU (4),IM FINE (5),NICE TO MEET YOU (6),THANK YOU (7),YOURE WELCOME (8),SEE YOU TOMORROW (9),UNDERSTAND (10),DON’T UNDERSTAND (11),KNOW (12),DON’T KNOW (13),NO (14),YES (15),WRONG (16),CORRECT (17),SLOW (18),FAST (19),ONE (20),TWO (21),THREE (22),FOUR (23),FIVE (24),SIX (25),SEVEN (26),EIGHT (27),NINE (28),TEN (29),JANUARY (30),FEBRUARY (31),MARCH (32),APRIL (33),MAY (34),JUNE (35),JULY (36),AUGUST (37),SEPTEMBER (38),OCTOBER (39),NOVEMBER (40),DECEMBER (41),MONDAY (42),TUESDAY (43),WEDNESDAY (44),THURSDAY (45),FRIDAY (46),SATURDAY (47),SUNDAY (48),TODAY (49),TOMORROW (50),YESTERDAY (51),FATHER (52),MOTHER (53),SON (54),DAUGHTER (55),GRANDFATHER (56),GRANDMOTHER (57),UNCLE (58),AUNTIE (59),COUSIN (60),PARENTS (61),BOY (62),GIRL (63),MAN (64),WOMAN (65),DEAF (66),HARD OF HEARING (67),WEELCHAIR PERSON (68),BLIND (69),DEAF BLIND (70),MARRIED (71),BLUE (72),GREEN (73),RED (74),BROWN (75),BLACK (76),WHITE (77),YELLOW (78),ORANGE (79),GRAY (80),PINK (81),VIOLET (82),LIGHT (83),DARK (84),BREAD (85),EGG (86),FISH (87),MEAT (88),CHICKEN (89),SPAGHETTI (90),RICE (91),LONGANISA (92),SHRIMP (93),CRAB (94),HOT (95),COLD (96),JUICE (97),MILK (98),COFFEE (99),TEA (100),BEER (101),WINE (102),SUGAR (103),NO SUGAR (104)
UNDERSTAND (10),1,2,0,0,0,0,0,2,2,0,50,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,1,0,1,3,0,1,0,1,2,0,1,0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1
DON’T UNDERSTAND (11),0,0,0,1,1,0,2,0,0,0,1,50,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,1,1,0,1,1,1,0,1,0,0,0,1,0,0
KNOW (12),0,0,0,0,0,1,0,1,0,2,0,0,50,2,0,0,0,0,0,1,3,1,0,0,0,1,2,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,1,0,1,0,0,1,2,0
DON’T KNOW (13),2,1,1,0,1,0,0,0,0,1,0,0,18,36,0,0,0,1,2,0,0,1,0,0,0,3,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
NO (14),0,0,1,1,1,0,0,0,1,2,0,0,0,0,38,0,0,0,0,0,1,2,3,0,1,0,1,1,1,1,0,1,1,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,0,0,1,0,1,2,0,0,2,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,3,0,0,0,0,0,1,0,1,3,0,0,0,0,1,2,1,0,0,0,2,0,1,0
YES (15),0,2,1,0,0,0,1,0,2,1,0,1,0,0,5,41,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,2,3,1,0,1,0,0,1,2,0,1,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0
WRONG (16),1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,1,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,0,1,0,1,2,0,2,1,0,2,1,1,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,2
CORRECT (17),0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,55,0,1,0,2,1,0,0,0,0,3,0,0,0,1,1,2,2,1,0,0,1,0,0,0,1,1,0,1,0,1,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,2,3,0,0,2,0,1,0,2,0,0,1,0,1,1,0,1,0,1,0,2,1,0,0,0,0,0,0
SLOW (18),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,1,0,1,0,2,1,1,1,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,3
FAST (19),0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,51,4,0,0,0,1,0,0,0,1,2,1,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,5,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0
ONE (20),1,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,5,35,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,1,0,1,1,0,3,1,0,1,1,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,1,2,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1
TWO (21),1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,45,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,2,0,0,1,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
THREE (22),1,0,0,1,1,0,0,1,0,1,0,0,0,0,2,1,0,2,1,1,2,0,36,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,2,0,2,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,2,1,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,2,0,0,1,0,0,2,1,1,1,0,1,1,0,0,0,0
FOUR (23),0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,50,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,1,0,0,0,0,1,1,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0
FIVE (24),0,2,3,0,0,0,1,2,0,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,47,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,0,1,2,0
SIX (25),1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,2,1,1,2,1,2,0,0,38,2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,2,1,0,0,1,1,2,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,3,0,1,0,1,0,1,0,0,1
SEVEN (26),0,4,2,1,1,0,2,1,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,42,2,0,1,1,0,0,0,2,1,1,1,0,0,0,0,0,3,0,0,0,2,1,0,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIGHT (27),0,0,0,2,2,0,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,2,0,0,0,1,1,0,0,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
NINE (28),0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,3,0,0,2,0,0,0,0,0,1,0,0,9,41,1,0,3,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1
TEN (29),1,2,0,0,1,0,2,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,47,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,1,1
JANUARY (30),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,44,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
FEBRUARY (31),0,1,2,1,0,0,0,1,0,0,0,1,1,0,2,2,1,1,0,0,1,1,2,0,1,2,0,0,0,1,0,41,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,1,1,0,0
MARCH (32),1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,2,0,0,0,0,8,0,37,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,2,1,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0
APRIL (33),2,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,3,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,2,1,2,0,0,0
MAY (34),0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5,0,1,1,34,1,5,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,1,2,0,0,1
JUNE (35),0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,2,1,1,5,0,0,0,0,36,1,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,1
JULY (36),0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,2,1,0,1,1,1,0,0,7,1,0,0,0,3,33,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0
AUGUST (37),0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,3,31,3,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SEPTEMBER (38),0,1,1,0,0,0,0,0,0,2,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,2,1,4,1,0,0,1,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
OCTOBER (39),1,1,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,2,0,1,1,1,1,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
NOVEMBER (40),0,0,1,0,1,0,1,1,0,0,0,1,1,1,2,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2
DECEMBER (41),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,48,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
MONDAY (42),0,1,0,0,2,0,0,0,0,1,0,0,0,2,5,0,1,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,1,0,38,0,0,0,0,0,0,0,1,2,2,1,0,2,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TUESDAY (43),0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,2,51,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1
WEDNESDAY (44),1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,1,0,0,0,1,0,1,1,0,0,1,0
THURSDAY (45),0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,6,0,48,0,0,0,0,0,0,2,2,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,1,1,1,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0
FRIDAY (46),1,1,0,1,0,0,3,0,1,2,0,0,2,0,1,0,2,1,1,1,0,0,0,0,0,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1
SATURDAY (47),0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,2,0,3,0,0,1,1,0,0,1,1,0,1,1,1
SUNDAY (48),0,0,2,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,46,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1,0,0,1,2,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TODAY (49),2,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,43,0,0,0,1,1,2,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,5,1,0,1,0,0,0,1,2,0,0,0,0,0,1
TOMORROW (50),0,0,3,0,0,0,0,0,1,1,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,2,0,1,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0
YESTERDAY (51),0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,2,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0
FATHER (52),1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
MOTHER (53),1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,53,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,2,0,2,0,0,1,0,2,0,0,0,1
SON (54),1,0,2,1,0,1,0,1,1,0,0,0,1,2,0,0,0,0,2,1,0,1,2,1,1,1,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,46,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
DAUGHTER (55),1,0,0,1,0,2,0,0,0,0,1,0,2,0,2,1,0,1,0,2,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,42,0,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,8,0,2,0,1,2,1
